[4008:205079:0705/134527.360551:INFO:components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc:202] No machine level policy manager exists.
[4008:205079:0705/134529.274101:INFO:CONSOLE:0] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: https://nid.naver.com/nidlogin.login (0)
[4008:205079:0705/134855.613816:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.66.0/se-editor.js?t=1747381158880 (1)
[4008:205079:0705/134910.205179:INFO:CONSOLE:2] "키보드 입력 차단 해제 완료", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134911.723918:INFO:CONSOLE:2] "Google Maps JavaScript API has been loaded directly without loading=async. This can result in suboptimal performance. For best-practice loading patterns please see https://goo.gle/js-api-loading", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134918.173441:INFO:CONSOLE:2] "추가 버튼 발견, 5번 클릭 시도 시작...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134918.173844:INFO:CONSOLE:2] "1번째 클릭 시도...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134919.175147:INFO:CONSOLE:2] "2번째 클릭 시도...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134920.174950:INFO:CONSOLE:2] "3번째 클릭 시도...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134921.175310:INFO:CONSOLE:2] "4번째 클릭 시도...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134922.174819:INFO:CONSOLE:2] "5번째 클릭 시도...", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/134923.198960:INFO:CONSOLE:2] "정확한 선택자로 확인 버튼 발견", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135038.610761:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135043.026686:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135046.956171:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135050.281373:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135052.282467:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135054.270134:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135054.797193:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.66.0/se-editor.js?t=1747381158880 (1)
[4008:205079:0705/135056.237634:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135056.759482:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.66.0/se-editor.js?t=1747381158880 (1)
[4008:205079:0705/135058.245127:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
[4008:205079:0705/135058.766551:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.66.0/se-editor.js?t=1747381158880 (1)
[4008:205079:0705/135100.228468:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: granted", source: https://feblog.pstatic.net/real/pc/2025.07.02/js/vendor.09e4ec66156a9ae67634.js (2)
